productid,brand,name,price,category,description,comment_count,rating_score
815909040,Melek Ana,Kids Çocuklar için,389 TL,Gıda ve İçecek,"Özel Kakaolu, Arı sütlü, Vitaminli, İştah Açıcı, Kilo-Aldırıcı, Macun 2li Set",578,5.0
37808818,kb köyceğiz yöresel,Karadut,290 TL,Gıda ve İçecek,Özü 1000 G,27224,4.8
829692875,Setamell,Kilo Aldırıcı Iştah,374 TL,Gıda ve İçecek,Açıcı ( Çikolata Aromalı Toz ),141,5.0
279296582,Antebella,Antep Fıstık,185 TL,Gıda ve İçecek,Kreması 200 gr,393,4.7
829926931,DOREE BEAUTE,Kilo aldırıcı,305 TL,Gıda ve İçecek,iştah açıcı çikolata aromalı toz 230 gr,324,5.0
740791254,Caffe Del Bello,Nikaragua,110 TL,Gıda ve İçecek,Filtre Kahve 250 Gr. (ÇEKİRDEK VEYA ÖĞÜTÜLMÜŞ),13,5.0
830430088,DOREE BEAUTE,Detox yardımcı,270 TL,Gıda ve İçecek,bitkisel çay 1 li sets,198,5.0
753287355,Alsancak Kuru Kahvecisi 1967'den Beri,,385 TL,Gıda ve İçecek,Orta Kavrulmuş Türk Kahvesi 12’li 100gr,14,4.7
266254989,Matcha Premium Japanese,,258 TL,Gıda ve İçecek,Premium Japanese Çilek Aromalı Detox Burner Form Matcha Çayı 1 Kutu,6458,4.4
444047020,Addis Ababa Coffee,Lemmu,319 TL,Gıda ve İçecek,"Blend Filtre Kahve, Espresso Kahve, Çekirdek Kahve 1000 Gr.",2461,4.4
712245449,Zühre Ana,Karadut Özü 670 Gr,"219,90 TL",Gıda ve İçecek,,46955,4.6
829616962,SHEBY'S,Çıtır Çıtır Kadayıflı,920 TL,Gıda ve İçecek,Künefe Gerçek Dubaı Çikolatası 2’li,9,4.8
750099572,MOMORDİCA,DetoxMix - 250 ml,"269,90 TL",Gıda ve İçecek,,11215,4.5
807727291,Viejo,Kilo Vermeye ve Ödem,429 TL,Gıda ve İçecek,Atmaya Yardımcı Resveratrol İçeren Mozambique Kahvesi,1893,4.2
830430329,DOREE BEAUTE,Detox yardımcı,370 TL,Gıda ve İçecek,bitkisel çay 2 li set,150,5.0
802679116,Nutriful,İbni Sina,249 TL,Gıda ve İçecek,Sirkengebin Prebiyotik Detox Sirkesi,163,4.1
678869596,ESİLAM,Kinoa Cay Zayıflama,296 TL,Gıda ve İçecek,Destekleyici Bitkisel Çay 2 Li Set,3157,4.9
834385992,PERTEK,Tunceli Dut,180 TL,Gıda ve İçecek,Pekmezi-İlave Şeker İçermez,0,
796088323,Zühre Ana,Bromelain Ananas,"219,90 TL",Gıda ve İçecek,İçeren Detox Şurubu,8767,4.4
828959931,SHEBY'S,Çıtır Çıtır Kadayıflı,490 TL,Gıda ve İçecek,Künefe Gerçek Dubaı Çikolatası,21,4.5
106814040,FORX5,- 3qr 30.şaseli -,565 TL,Gıda ve İçecek,Coffee,15302,4.3
112458875,Feridun Kunak,3 Adet - Detoxs,679 TL,Gıda ve İçecek,Çayı 90 Günlük Kullanım 450g,1833,4.3
103961756,Feridun Kunak,Detoxs Karışık,298 TL,Gıda ve İçecek,Bitki Detoks Çayı 5gr X 30 Günlük,18057,
67995802,Züber,Meyveli Bar Deneme,"251,35 TL",Gıda ve İçecek,Paketi 40g X 12 Adet,11212,4.7
176804799,Seed'n Grains,Glutensiz,"44,63 TL",Gıda ve İçecek,Karabuğday Patlağı 125 gr,1783,4.7
696202599,Mahbuba,Hindiba Kahvesi Kilo,283 TL,Gıda ve İçecek,Vermeye Ödem Atmaya Yardımcı Detox Diyet Zayıflama 1 Aylık Kullanım 60x2gr,10708,4.3
125038067,Lifecoffee,"Kahve Diyeti ,","206,66 TL",Gıda ve İçecek,"Hindiba Kahvesi , Detox Kahve , 150 gram , Diyet Kahve",2634,4.6
3990495,Tchibo,Profesional Espresso,388 TL,Gıda ve İçecek,Çekirdek Kahve 1kg,10019,4.7
740788349,Caffe Del Bello,Espresso,400 TL,Gıda ve İçecek,Special Blend 1 Kg. (ÇEKİRDEK VEYA ÖĞÜTÜLMÜŞ),11,5.0
239767731,Elvan,Today Kruvasan,"135,99 TL",Gıda ve İçecek,Çikolatalı 40 Gr. 20 Adet (1 Kutu),18534,4.7
127171444,Wefood,Organik Elma Sirkesi,"224,90 TL",Gıda ve İçecek,500 ml,2138,4.8
790480113,Zühre Ana,Karadut Özü 2 Adet,"349,90 TL",Gıda ve İçecek,670 gr,810,4.6
158535269,Züber,%100 Fıstık Ezmesi,"135,50 TL",Gıda ve İçecek,315gr,386,4.5
42720773,Kahve Dünyası,Orta Kavrulmuş,"127,90 TL",Gıda ve İçecek,Türk Kahvesi 100 Gr (4'lü Paket) Orta Kavrulmuş Türk Kahvesi 100 Gr (4'lü Paket),3536,4.8
475983940,Meri Detox,Tea Detoks Çayı 60,460 TL,Gıda ve İçecek,Adet 1 Aylık Kullanım,515,4.7
653532785,Narcissa,Aserola Ekstresi,399 TL,Gıda ve İçecek,içeren Karışık Bitki Tozu,22229,
811472934,Züber,Fındık Kreması Kakaolu,579 TL,Gıda ve İçecek,315 g x 3 Adet,349,4.9
817692778,DOCTAMIN,Siyah Kayısı Özü,229 TL,Gıda ve İçecek,,795,4.2
834481366,PERTEK,Beyaz Dut Unu (200 gr),150 TL,Gıda ve İçecek,,0,
791877772,Narcissa,Ödem Atmaya Yardımcı,269 TL,Gıda ve İçecek,Doğal Longan Meyvesi Detox Sirkesi 250ml,2436,4.3
154812444,Soul Kitchen Organik Ürünler,,"159,50 TL",Gıda ve İçecek,Organik Bebek Keçiboynuzu Pekmezi 380gr (SOĞUK SIKIM) (ŞEKER İLAVESİZ),539,4.8
792186344,Züber,Fındık Kreması Kakaolu,248 TL,Gıda ve İçecek,315g,2285,4.8
834407632,muros's coffee roastery,Türk,149 TL,Gıda ve İçecek,Kahvesi 250gr,0,
828916595,Matcha Premium Japanese,,"199,90 TL",Gıda ve İçecek,Çilek Aromalı Matcha Çayı,23,
239488203,Züber,Lokma Deneme Paketi 96g,"249,90 TL",Gıda ve İçecek,X 6 Adet,6081,4.7
665540894,Tuvana Bitkisel,Zayıflama,210 TL,Gıda ve İçecek,Yardımcı Bitkisel Karışımlı Detox Form Çayı,5875,4.7
168691564,Toprak Doğal,Premium,"549,90 TL",Gıda ve İçecek,Hediyelik Kutu,0,
379180974,Elvan,Maxim Crown Kakaolu,"50,99 TL",Gıda ve İçecek,Bisküvi 275 Gr. (1 Poşet),5125,4.6
810574622,Harar,Hindiba Kahvesi,"379,90 TL",Gıda ve İçecek,Zayıflama Kilo Verme Form Diyet Detox Kahve Kampanya Ile 2 Aylık (120 KULLANİM),313,4.6
33322094,Elvan,Ibon Sütlü Meyveli,"142,63 TL",Gıda ve İçecek,Şeker 1000 Gr. Silindir (1 Kutu),12724,4.8
69101837,Wefood,Karnıyarık Otu,"283,42 TL",Gıda ve İçecek,(Psyllium) Tozu 200 gr,1682,4.7
449040367,DR TAYYARÖZ,Çocuk Macunu,159 TL,Gıda ve İçecek,-kakao Propolis Pekmez Arı Sütü Bal Ve Vitamin,43550,4.6
220215484,Wefood,Karadut Özü 700 gr,"319,49 TL",Gıda ve İçecek,(Şeker İlavesiz & Soğuk Sıkım),6386,4.6
679421582,Genel Markalar,Çarşıbaşı,370 TL,Gıda ve İçecek,Sütlü Yumurtacık Bayram Çikolatası 350g,3,5.0
752686978,IRON HERBAL,IRON COFFEE 30'LU,580 TL,Gıda ve İçecek,KAHVE,18,4.6
283933531,Kuru Yeşil,Karnıyarık Otu,160 TL,Gıda ve İçecek,"(PSYLLİUM) Tozu 100 Gr, Glutensiz Organik Ürün",66,4.8
276219338,Naturawell,Formula Yoğun,249 TL,Gıda ve İçecek,Yeşil Çaylı Kinoa Çayı,1307,4.8
286152718,Gelincik,Kahvaltılık,215 TL,Gıda ve İçecek,Sürülebilir Doğal Katkısız 320gr Özel Üretim Antep Fıstığı Kreması,123,4.2
288620006,HARMANA,Hindiba Kahvesi Detox,"277,85 TL",Gıda ve İçecek,Kahve 1 Aylık - (60 KULLANIM) Net 150gr,23209,4.4
235532106,Espressolab,Pratik Filtre,179 TL,Gıda ve İçecek,Kahve - Colombia Antioquia La Claudina - 5 Adet,40,4.7
163685145,KenevirCo,Soğuk Sıkım Kenevir,322 TL,Gıda ve İçecek,Tohumu Yağı,61,4.9
87980838,KAVAKLICA ANTEPZADE,Fıstık,"167,50 TL",Gıda ve İçecek,Ezmesi (ANTEP FISTIĞI EZMESİ) Doğal Sürülebilir Net 200 G,640,4.3
828140419,UNOVA,ANTAKYA ÇİFTE KAVRULMUŞ,340 TL,Gıda ve İçecek,TÜRK KAHVESİ 1000 G,4,5.0
40574039,Matcha Premium Japanese,,215 TL,Gıda ve İçecek,Premium Japanese Toz Maça Çayı 20 X 8 G,125,4.1
803792766,Glox Tea,Metabolizma,399 TL,Gıda ve İçecek,Düzenlemeye Yardımcı Bitkisel Karışımlı Glox Detox Çay,22,4.4
806437554,GLOX,Bromelain Ekstraktı Ile,379 TL,Gıda ve İçecek,Güçlendirilmiş Metabolizma Canlandırıcı Detox Kapsülü 30 Adet,0,
796176401,Zühre Ana,Ananas Sirkesi,218 TL,Gıda ve İçecek,Doğal Fermantasyon Pineapple Vinegar 500 Ml,1795,4.6
274717174,Addis Ababa Coffee,Etiyopya,294 TL,Gıda ve İçecek,Aromalı 3 Lü Deneme Seti Filtre & Çekirdek Kahve (3 Ad. X 250 Gr. ) 750 Gr.,407,4.6
284873461,Zühre Ana,L-carnitine,225 TL,Gıda ve İçecek,Destekli Form Macunu Orijinal Hologramlı Ürün,13257,4.3
130593681,Zühre Ana,Kids Çocuklar için,"229,90 TL",Gıda ve İçecek,"Özel - Arı Sütü, Pekmez, Bal Ve Vitamin Katkılı Kakaolu Macun",63199,4.7
712277910,NORDİA,Barista No:3 Öğütülmüş,349 TL,Gıda ve İçecek,(1 KG) Filtre Kahve,42,4.6
76451368,Diox,Tea 60'lı Detoks Çayı 1,575 TL,Gıda ve İçecek,Aylık Orijinal Paket,3552,4.3
834595946,Asil,AsilCoffee Türk Kahvesi,"149,99 TL",Gıda ve İçecek,250 Gr,0,
37809484,LavAzza,Crema E Aroma,450 TL,Gıda ve İçecek,Çekirdek Kahve 1 Kg %100 Orjinal,3450,4.4
650502114,MİNERA VİTAL,Bamya Tohumu,400 TL,Gıda ve İçecek,Form Çayı 42’li,222,4.1
766135173,PHELSİUM,Hindiba Detox Kahve,329 TL,Gıda ve İçecek,Diyeti 1 aylık,938,4.1
811103457,Lokman Hekim,Bitkisel,"232,70 TL",Gıda ve İçecek,Karışımlı Macun 300 Gr,80,4.2
52242525,Deva Çiftliği,Richnut,199 TL,Gıda ve İçecek,Şekersiz %100 Saf Doğal Fıstık Ezmesi 1 Kg,12482,4.8
40148270,Wefood,Organik Keçiboynuzu,"161,51 TL",Gıda ve İçecek,Özü 315 gr (Soğuk Sıkım),6227,4.8
771955561,Zühre Ana,"Pektamin - Karadut,","199,99 TL",Gıda ve İçecek,Keçiboynuzu Ve Andız Pekmezi Karışımı ( Vitamin Takviyeli ),1338,4.7
110027252,Kerime Sultan Doğal Ürünler,,"144,95 TL",Gıda ve İçecek,Ev Yapımı Doğal Fermente Elma Sirkesi 500 gr,40,4.7
683383341,EGŞ COSMETİCS,Fit Tok Form,250 TL,Gıda ve İçecek,Çayı 50 Adet,384,
636058935,Emine türk anneli,Iğde,200 TL,Gıda ve İçecek,Çekirdeği Tozu Ilaveli Çocuk Macun 210 gr,168,4.8
447419994,DR TAYYARÖZ,Doğal Keçi,115 TL,Gıda ve İçecek,Boynuzu Pekmezi 320 Gram,20406,4.6
814545931,DR LIFE ESTHETIC,Happy Lady,318 TL,Gıda ve İçecek,Civan Perçemli Rahatlatıcı Özel Gün Bitki Çayı,28,5.0
762532807,Matcha Premium Japanese,,280 TL,Gıda ve İçecek,Premium Japanese MATCHA & BROMELAİN Limon Aromalı Detox Burner Form Çayı 1 Kutu,194,4.4
137471025,dtoxon,60 Günlük L-carnitine,490 TL,Gıda ve İçecek,Destekli Bitkisel Detox,463,4.3
72707180,Moliendo,Amalfi Espresso,140 TL,Gıda ve İçecek,Blend Kahve (ÇEKİRDEK KAHVE) 250 G,1348,4.8
468669548,Wefood,Besin Mayası 100 Gr,202 TL,Gıda ve İçecek,,434,4.8
299356355,Seed'n Grains,Rice Cake,"44,90 TL",Gıda ve İçecek,Pirinç Patlağı 135 gr,1572,4.8
834406221,muros's coffee roastery,,349 TL,Gıda ve İçecek,Dibek Türk Kahvesi 500gr,0,
52915799,Tchibo,Profesional Special,"399,99 TL",Gıda ve İçecek,Filtre Kahve 4x250gr,17546,4.7
816062971,FreshBelle,Kilo Vermeye,"199,90 TL",Gıda ve İçecek,Yardımcı Zayıflama1 Detoks Çayı 2 Li Set ( 1 Aylık ),1403,4.9
104143453,WİSHAY BEAUTY COSMETİC,,400 TL,Gıda ve İçecek,Perfect Slimming Tea,141,4.0
166784945,SEA FOOD,Seafood Sushi Yosunu,"94,94 TL",Gıda ve İçecek,Yaki Sushi Nori Gold Premium 10 Yaprak,1989,4.5
810000650,Wefood,Karadut Özü 700 gr,"624,90 TL",Gıda ve İçecek,(Soğuk Sıkım) + Wefood Organik Keçiboynuzu Özü 640 gr (Soğuk Sıkım),11,
744057896,Matcha Premium Japanese,3,440 TL,Gıda ve İçecek,Kutu Matcha Tozu Çayı Maça Çayı 3 Paket,3,4.0
822618200,NUTRIPHARMA,QUICK SLIM COFFEE,770 TL,Gıda ve İçecek,"LUX,Biyoaktif Kolajen Peptidleri,L-Karnitin,Prebiyotikli Form Kahve, 5g x 30 saşe",6,4.7
111624445,Moliendo,House Blend Filtre,140 TL,Gıda ve İçecek,Kahve (ÖĞÜTÜLMÜŞ FİLTRE KAHVE) 250 G,2229,4.7
6875653,Fermente Mutfağım,Organik,409 TL,Gıda ve İçecek,Elma Sirkesi,1333,4.8
81387220,Kahve Dünyası,4'lü Lavi,455 TL,Gıda ve İçecek,"Çikolata Seti 300g Fındık, 300g Frambuaz, 300g Bitter, 300g Sütlü Dolgulu",16882,4.8
832860472,Royale Kahve,ROME Espresso,290 TL,Gıda ve İçecek,Blend Kahve (ÇEKİRDEK KAHVE) 250 G,1,5.0
55149021,The Touch By Seda Altın,2,144 TL,Gıda ve İçecek,Adet Detox Tea,11705,4.7
6106471,Wefood,Matcha Tozu 50 gr,"170,40 TL",Gıda ve İçecek,,1094,4.4
483012824,IVORIE,Organik %100 Bitter,100 TL,Gıda ve İçecek,Çikolata Vegan 40 Gr,1,4.0
463901207,Delly,Çikolata Kaplı - Vegan,"262,80 TL",Gıda ve İçecek,Meyveli Bar - Karışık Kutu 35g X 12 Adet,764,4.8
97010141,jönx13 Brown,Brown Tea,500 TL,Gıda ve İçecek,Macha'lı Karışık Bitki Çayı 300 gr 45 Günlük Browntea Bitkisel Çay,2250,4.3
3674890,Kahve Dünyası,Orta Kavrulmuş,399 TL,Gıda ve İçecek,Türk Kahvesi 100 gr - 12'li,20116,4.7
82857788,Wefood,Organik Keçiboynuzu,"260,50 TL",Gıda ve İçecek,Özü 640 gr (Soğuk Sıkım),3015,4.6
198702202,HAVRAN KOCASEYİT,Karadut Özü,"249,90 TL",Gıda ve İçecek,1400 gr,3096,4.8
739045585,Tarihi SultanAhmet Baharatçısı,,"149,90 TL",Gıda ve İçecek,Ananas Sirkesi 500 ml (Doğal Fermente) (Özel Üretim),10,4.7
353977356,zadelife,Karadut Özü 700 gr,194 TL,Gıda ve İçecek,,2688,4.8
46534796,Anisah Coffee,Dünya Kahveleri,"589,90 TL",Gıda ve İçecek,Tanışma Seti 5'li Paket 250g (ÇEKİRDEK) | %100 Arabica | Filtre Kahve,412,4.7
745217474,ultranatura,Sandaloz Sakızlı,240 TL,Gıda ve İçecek,Kitreli Elma Sirkesi - 500ml,386,4.6
806106373,Gülçehre,Yörem Afyon Meşhur,"81,51 TL",Gıda ve İçecek,"Erzincan Karabaş Otu, Keşiş Otu, Gargan | 40gr.",3,5.0
49226069,Zühre Ana,Kozalak Macunu -,"199,90 TL",Gıda ve İçecek,Çam Kozalağı Macunu Hologramlı Ürün,48930,4.7
798898138,FoodNut,%100 Şekersiz Sporcu,349 TL,Gıda ve İçecek,Dostu Fıstık Ezmesi 2 Li %100 Şekersiz Yer Fıstığı Ezmesi 2 Kg,189,4.5
768362205,FORX5,Iştah Açıcı- Magıc Mılk,675 TL,Gıda ve İçecek,,68,4.6
66498559,Sade Organik,Organik Alıç,"242,40 TL",Gıda ve İçecek,Sirkesi 500 ml Organik Elma Sirkesi 500 ml,97,4.8
686024515,FUNBODY,Ananaslı Elma & Alıç,"229,90 TL",Gıda ve İçecek,Sirkesi,662,4.4
101684087,Minecal,Doğal Fermente Elma,"173,72 TL",Gıda ve İçecek,Sirkesi 2x500ml,20,4.3
747500948,HARMANA,2 Adet Hindiba,539 TL,Gıda ve İçecek,Kahvesi Detox Kahve 2x 150 gr,1965,4.5
38807877,Anisah Coffee,Bolivar Koyu,"359,90 TL",Gıda ve İçecek,Kavrulmuş (DARK ROAST) Espresso Blend Çekirdek Kahve 1000g | Dolgun Gövde-dengeli Tat,3896,4.6
212940199,Ocean,Orzax Ocean ExtraMag,288 TL,Gıda ve İçecek,Üçlü Kombinasyon Magnezyum Takviye Edici Gıda 30 Tablet,96,4.7
815180318,LİBİDOS,Etkili Bitkisel,"328,99 TL",Gıda ve İçecek,Karışım Macun 12 gr *12 Adet,12,
2946176,Mehmet Efendi,Kurukahveci 100,"1.058,75 TL",Gıda ve İçecek,gr 25'li Paket Türk Kahvesi,11786,4.8
666071948,RAWMYGOD,"Glutensiz Elmalı,",139 TL,Gıda ve İçecek,Badem Ezmeli Kuruyemiş Ve Meyve Topları 3'lü Paket 84g X 3 Paket,26,4.7
55413395,Kahve Dünyası,4'lü Filtre,"331,95 TL",Gıda ve İçecek,Kahve,8762,4.7
258623270,KOFFIEBOON,/ 1 Kg /,"399,99 TL",Gıda ve İçecek,Restaurant - Cafe Series / Z-13 / Wholesale Pack / Kavrulmuş Kahve,1461,4.4
760559900,MRS.UMRANTOO,Karahindiba,"403,90 TL",Gıda ve İçecek,Detox Kahve 30 Saşe,8087,4.2
766523104,Alsancak Kuru Kahvecisi 1967'den Beri,,359 TL,Gıda ve İçecek,Orta Kavrulmuş Türk Kahvesi 100gr x 10 Adet,10,5.0
683815635,Züber,Granola Bar Deneme,"196,50 TL",Gıda ve İçecek,Paketi,3196,4.7
44867039,KOFFIEBOON,Puro Italiano - 1,"549,99 TL",Gıda ve İçecek,Kg - Çekirdek Kahve / Orta Kavrulmuş / Filtre Kahve Harmanı / Öğütülmemiş /,273,4.5
333139231,Coreganic,Zencefil & Limon,189 TL,Gıda ve İçecek,Özü,1623,4.5
265660655,Fermente Mutfağım,Pancar,"242,50 TL",Gıda ve İçecek,Kvass (KIRMIZI PANCAR SUYU) 500 ml,39,4.4
740891790,Zühre Ana,Hurma Özü 350 Gr,"219,90 TL",Gıda ve İçecek,,2662,4.4
130323853,BEYORGANİK,Organik Bey Tonik,201 TL,Gıda ve İçecek,(zerdeçallı-zencefilli) Bey Tonik 185gr,3059,4.6
